Index,System Time,Channel,Direction,Frame ID,Data
600,15:20:03.195,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
601,15:20:03.211,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
602,15:20:03.222,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
603,15:20:03.222,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
604,15:20:03.234,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
605,15:20:03.234,ch1,R,0x0282,x| FE C3 2D FE FE 00 91 00
606,15:20:03.247,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
607,15:20:03.247,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
608,15:20:03.257,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
609,15:20:03.257,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
610,15:20:03.270,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
611,15:20:03.270,ch1,R,0x0284,x| 80 0E 00 00 00 00 00 00
612,15:20:03.285,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
613,15:20:03.286,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
614,15:20:03.300,ch1,R,0x0282,x| FE D3 2D FE FE 00 91 00
615,15:20:03.300,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
616,15:20:03.311,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
617,15:20:03.311,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
618,15:20:03.327,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
619,15:20:03.327,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
620,15:20:03.343,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
621,15:20:03.343,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
622,15:20:03.359,ch1,R,0x0282,x| FE E3 2D FE FE 00 91 00
