Index,System Time,Channel,Direction,Frame ID,Data
295,4:14:00.207,ch1,R,0x0141,x| 84 26 71 27 D9 82 A7 00
296,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
297,4:14:00.207,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
298,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 08 00 00 00 C2
299,4:14:00.207,ch1,R,0x0280,x| 02 00 00 00 00 00 00 00
300,4:14:00.207,ch1,R,0x0140,x| 00 01 DE 42 00 00 07 21
301,4:14:00.207,ch1,R,0x0141,x| 84 26 71 27 D9 82 A7 00
302,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
303,4:14:00.207,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
304,4:14:00.207,ch1,R,0x03d1,x| 0C 11 00 00 00 00 00 00
305,4:14:00.207,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 00
306,4:14:00.207,ch1,R,0x00d1,x| 00 00 00 00
307,4:14:00.207,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
308,4:14:00.207,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 E4
309,4:14:00.207,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
310,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 0A 00 00 00 C4
311,4:14:00.207,ch1,R,0x0152,x| F0 4C 00 00 00 00 08 80
312,4:14:00.207,ch1,R,0x0140,x| 00 02 DE 42 00 00 07 21
313,4:14:00.207,ch1,R,0x0141,x| 84 26 71 27 DA 82 A7 00
314,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
315,4:14:00.207,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
316,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 0C 00 00 00 C6
317,4:14:00.207,ch1,R,0x0280,x| 02 01 00 00 00 00 00 00
318,4:14:00.207,ch1,R,0x0140,x| 00 03 DE 42 00 00 07 21
319,4:14:00.207,ch1,R,0x0141,x| 84 26 71 27 DA 82 A7 00
320,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
321,4:14:00.207,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
322,4:14:00.219,ch1,R,0x0360,x| F7 00 81 81 2F 00 01 00
323,4:14:00.219,ch1,R,0x0361,x| 00 29 00 DB 0B 20 74 3F
324,4:14:00.442,ch1,R,0x0280,x| 02 09 00 00 00 00 00 00
325,4:14:00.442,ch1,R,0x0140,x| 00 03 D9 42 00 00 07 21
326,4:14:00.442,ch1,R,0x0141,x| 84 26 6A 27 DA 82 A7 00
327,4:14:00.442,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
328,4:14:00.442,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
329,4:14:00.442,ch1,R,0x0370,x| 00 00 00 00 00 01 00 00
330,4:14:00.445,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 FF
331,4:14:00.445,ch1,R,0x00d1,x| 00 00 00 00
332,4:14:00.445,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
333,4:14:00.445,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 ED
334,4:14:00.445,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
335,4:14:00.445,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
336,4:14:00.445,ch1,R,0x0152,x| F0 DC 00 00 00 00 08 80
337,4:14:00.445,ch1,R,0x0140,x| 00 04 D9 42 00 00 07 21
338,4:14:00.445,ch1,R,0x0141,x| 84 26 69 27 DA 82 A7 00
